# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://waterdata.usgs.gov/nwis/help/?provisional for more information.
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-07-16 17:32:33 EDT	(caas01)
#
# Data for the following 9 site(s) are contained in this file
#    USGS 430406089232901 DN-07/09E/23-1297
#    USGS 430427089284901 DN-07/09E/19-0064
#    USGS 430642089395301 DN-07/07E/04-6021
#    USGS 430658089385701 DN-07/07E/03-6023
#    USGS 430658089385901 DN-07/07E/03-6024
#    USGS 430659089385801 DN-07/07E/03-6022
#    USGS 430718089291501 DN-08/08E/36-1440
#    USGS 431233089103201 DN-09/11E/34-1355
#    USGS 431312089475301 DN-09/06E/29-0083
# -----------------------------------------------------------------------------------
#
# Data provided for site 430406089232901
#    DD parameter statistic   Description
#    01   72019     00001     Depth to water level, feet below land surface (Maximum)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	01_72019_00001	01_72019_00001_cd
USGS	430406089232901	2011-04-17	14.35	P
USGS	430406089232901	2011-04-18	14.57	P
USGS	430406089232901	2011-04-19	14.39	P
USGS	430406089232901	2011-04-20	14.23	P
USGS	430406089232901	2011-04-21	14.25	P
USGS	430406089232901	2011-04-22	14.03	P
USGS	430406089232901	2011-04-23	13.97	P
USGS	430406089232901	2011-04-24	14.09	P
USGS	430406089232901	2011-04-25	14.02	P
USGS	430406089232901	2011-04-26	13.71	P
USGS	430406089232901	2011-04-27	13.64	P
USGS	430406089232901	2011-04-28	13.69	P
USGS	430406089232901	2011-04-29	13.97	P
USGS	430406089232901	2011-04-30	13.82	P
USGS	430406089232901	2011-05-01	13.98	P
USGS	430406089232901	2011-05-02	14.00	P
USGS	430406089232901	2011-05-03	13.82	P
USGS	430406089232901	2011-05-04	14.10	P
USGS	430406089232901	2011-05-05	13.82	P
USGS	430406089232901	2011-05-06	13.96	P
USGS	430406089232901	2011-05-07	14.12	P
USGS	430406089232901	2011-05-08	14.15	P
USGS	430406089232901	2011-05-09	13.99	P
USGS	430406089232901	2011-05-10	14.10	P
USGS	430406089232901	2011-05-11	14.11	P
USGS	430406089232901	2011-05-12	14.01	P
USGS	430406089232901	2011-05-13	13.89	P
USGS	430406089232901	2011-05-14	13.83	P
USGS	430406089232901	2011-05-15	14.03	P
USGS	430406089232901	2011-05-16	14.12	P
USGS	430406089232901	2011-05-17	14.10	P
USGS	430406089232901	2011-05-18	13.91	P
USGS	430406089232901	2011-05-19	14.20	P
USGS	430406089232901	2011-05-20	14.25	P
USGS	430406089232901	2011-05-21	14.20	P
USGS	430406089232901	2011-05-22	14.16	P
USGS	430406089232901	2011-05-23	14.32	P
USGS	430406089232901	2011-05-24	14.39	P
USGS	430406089232901	2011-05-25	14.19	P
USGS	430406089232901	2011-05-26	14.40	P
USGS	430406089232901	2011-05-27	14.52	P
USGS	430406089232901	2011-05-28	14.74	P
USGS	430406089232901	2011-05-29	14.81	P
USGS	430406089232901	2011-05-30	15.05	P
USGS	430406089232901	2011-05-31	15.11	P
USGS	430406089232901	2011-06-01	15.00	P
USGS	430406089232901	2011-06-02	14.84	P
USGS	430406089232901	2011-06-03	14.73	P
USGS	430406089232901	2011-06-04	14.84	P
USGS	430406089232901	2011-06-05	14.80	P
USGS	430406089232901	2011-06-06	14.80	P
USGS	430406089232901	2011-06-07	14.92	P
USGS	430406089232901	2011-06-08	15.14	P
USGS	430406089232901	2011-06-09	15.01	P
USGS	430406089232901	2011-06-10	15.07	P
USGS	430406089232901	2011-06-11	15.02	P
USGS	430406089232901	2011-06-12	15.22	P
USGS	430406089232901	2011-06-13	15.25	P
USGS	430406089232901	2011-06-14	15.25	P
USGS	430406089232901	2011-06-15	15.03	P
USGS	430406089232901	2011-06-16	15.30	P
USGS	430406089232901	2011-06-17	15.38	P
USGS	430406089232901	2011-06-18	15.38	P
USGS	430406089232901	2011-06-19	15.34	P
USGS	430406089232901	2011-06-20	15.36	P
USGS	430406089232901	2011-06-21	15.34	P
USGS	430406089232901	2011-06-22	15.26	P
USGS	430406089232901	2011-06-23	15.21	P
USGS	430406089232901	2011-06-24	15.34	P
USGS	430406089232901	2011-06-25	15.41	P
USGS	430406089232901	2011-06-26	15.43	P
USGS	430406089232901	2011-06-27	15.39	P
USGS	430406089232901	2011-06-28	15.46	P
USGS	430406089232901	2011-06-29	15.46	P
USGS	430406089232901	2011-06-30	15.47	P
USGS	430406089232901	2011-07-01	15.54	P
USGS	430406089232901	2011-07-02	15.58	P
USGS	430406089232901	2011-07-03	15.56	P
USGS	430406089232901	2011-07-04	15.57	P
USGS	430406089232901	2011-07-05	15.57	P
USGS	430406089232901	2011-07-06	15.65	P
USGS	430406089232901	2011-07-07	15.65	P
USGS	430406089232901	2011-07-08	15.69	P
USGS	430406089232901	2011-07-09	15.69	P
USGS	430406089232901	2011-07-10	15.75	P
USGS	430406089232901	2011-07-11	15.79	P
USGS	430406089232901	2011-07-12	16.89	P
USGS	430406089232901	2011-07-13	15.87	P
USGS	430406089232901	2011-07-14	15.90	P
USGS	430406089232901	2011-07-15	15.93	P
USGS	430406089232901	2011-07-16	15.99	P
USGS	430406089232901	2011-07-17	16.03	P
USGS	430406089232901	2011-07-18	15.99	P
USGS	430406089232901	2011-07-19	16.07	P
USGS	430406089232901	2011-07-20	16.08	P
USGS	430406089232901	2011-07-21	16.14	P
USGS	430406089232901	2011-07-22	16.20	P
USGS	430406089232901	2011-07-23	16.25	P
USGS	430406089232901	2011-07-24	16.25	P
USGS	430406089232901	2011-07-25	16.24	P
USGS	430406089232901	2011-07-26	16.30	P
USGS	430406089232901	2011-07-27	16.21	P
USGS	430406089232901	2011-07-28	16.20	P
USGS	430406089232901	2011-07-29	16.25	P
USGS	430406089232901	2011-07-30	16.22	P
USGS	430406089232901	2011-07-31	16.21	P
USGS	430406089232901	2011-08-01	16.20	P
USGS	430406089232901	2011-08-02	16.18	P
USGS	430406089232901	2011-08-03	16.30	P
USGS	430406089232901	2011-08-04	16.32	P
USGS	430406089232901	2011-08-05	16.29	P
USGS	430406089232901	2011-08-06	16.26	P
USGS	430406089232901	2011-08-07	16.27	P
USGS	430406089232901	2011-08-08	16.25	P
USGS	430406089232901	2011-08-09	16.29	P
USGS	430406089232901	2011-08-10	16.36	P
USGS	430406089232901	2011-08-11	16.37	P
USGS	430406089232901	2011-08-12	16.34	P
USGS	430406089232901	2011-08-13	16.34	P
USGS	430406089232901	2011-08-14	16.38	P
USGS	430406089232901	2011-08-15	16.40	P
USGS	430406089232901	2011-08-16	16.40	P
USGS	430406089232901	2011-08-17	16.37	P
USGS	430406089232901	2011-08-18	16.43	P
USGS	430406089232901	2011-08-19	16.48	P
USGS	430406089232901	2011-08-20	16.44	P
USGS	430406089232901	2011-08-21	16.45	P
USGS	430406089232901	2011-08-22	16.41	P
USGS	430406089232901	2011-08-23	16.34	P
USGS	430406089232901	2011-08-24	16.33	P
USGS	430406089232901	2011-08-25	16.44	P
USGS	430406089232901	2011-08-26	16.37	P
USGS	430406089232901	2011-08-27	16.38	P
USGS	430406089232901	2011-08-28	16.36	P
USGS	430406089232901	2011-08-29	16.40	P
USGS	430406089232901	2011-08-30	16.38	P
USGS	430406089232901	2011-08-31	16.43	P
USGS	430406089232901	2011-09-01	16.47	P
USGS	430406089232901	2011-09-02	16.49	P
USGS	430406089232901	2011-09-03	16.47	P
USGS	430406089232901	2011-09-04	16.39	P
USGS	430406089232901	2011-09-05	16.40	P
USGS	430406089232901	2011-09-06	16.39	P
USGS	430406089232901	2011-09-07	16.40	P
USGS	430406089232901	2011-09-08	16.41	P
USGS	430406089232901	2011-09-09	16.43	P
USGS	430406089232901	2011-09-10	16.51	P
USGS	430406089232901	2011-09-11	16.50	P
USGS	430406089232901	2011-09-12	16.51	P
USGS	430406089232901	2011-09-13	16.58	P
USGS	430406089232901	2011-09-14	16.58	P
USGS	430406089232901	2011-09-15	16.64	P
USGS	430406089232901	2011-09-16	16.57	P
USGS	430406089232901	2011-09-17	16.63	P
USGS	430406089232901	2011-09-18	16.52	P
USGS	430406089232901	2011-09-19	16.57	P
USGS	430406089232901	2011-09-20	16.54	P
USGS	430406089232901	2011-09-21	16.54	P
USGS	430406089232901	2011-09-22	16.55	P
USGS	430406089232901	2011-09-23	16.50	P
USGS	430406089232901	2011-09-24	16.49	P
USGS	430406089232901	2011-09-25	16.50	P
USGS	430406089232901	2011-09-26	16.43	P
USGS	430406089232901	2011-09-27	16.47	P
USGS	430406089232901	2011-09-28	16.47	P
USGS	430406089232901	2011-09-29	16.41	P
USGS	430406089232901	2011-09-30	16.52	P
USGS	430406089232901	2011-10-01	16.60	P
USGS	430406089232901	2011-10-02	16.57	P
USGS	430406089232901	2011-10-03	16.59	P
USGS	430406089232901	2011-10-04	16.61	P
USGS	430406089232901	2011-10-05	16.62	P
USGS	430406089232901	2011-10-06	16.59	P
USGS	430406089232901	2011-10-07	16.62	P
USGS	430406089232901	2011-10-08	16.71	P
USGS	430406089232901	2011-10-09	16.66	P
USGS	430406089232901	2011-10-10	16.60	P
USGS	430406089232901	2011-10-11	16.55	P
USGS	430406089232901	2011-10-12	16.53	P
USGS	430406089232901	2011-10-13	16.47	P
USGS	430406089232901	2011-10-14	16.50	P
USGS	430406089232901	2011-10-15	16.58	P
USGS	430406089232901	2011-10-16	16.54	P
USGS	430406089232901	2011-10-17	16.56	P
USGS	430406089232901	2011-10-18	16.52	P
USGS	430406089232901	2011-10-19	16.47	P
USGS	430406089232901	2011-10-20	16.53	P
USGS	430406089232901	2011-10-21	16.69	P
USGS	430406089232901	2011-10-22	16.69	P
USGS	430406089232901	2011-10-23	16.64	P
USGS	430406089232901	2011-10-24	16.74	P
USGS	430406089232901	2011-10-25	16.63	P
USGS	430406089232901	2011-10-26	16.67	P
USGS	430406089232901	2011-10-27	16.75	P
USGS	430406089232901	2011-10-28	16.79	P
USGS	430406089232901	2011-10-29	16.81	P
USGS	430406089232901	2011-10-30	16.69	P
USGS	430406089232901	2011-10-31	16.72	P
USGS	430406089232901	2011-11-01	16.90	P
USGS	430406089232901	2011-11-02	16.86	P
USGS	430406089232901	2011-11-03	16.83	P
USGS	430406089232901	2011-11-04	16.93	P
USGS	430406089232901	2011-11-05	16.79	P
USGS	430406089232901	2011-11-06	16.76	P
USGS	430406089232901	2011-11-07	16.88	P
USGS	430406089232901	2011-11-08	16.70	P
USGS	430406089232901	2011-11-09	16.55	P
USGS	430406089232901	2011-11-10	16.40	P
USGS	430406089232901	2011-11-11	16.38	P
USGS	430406089232901	2011-11-12	16.31	P
USGS	430406089232901	2011-11-13	16.05	P
USGS	430406089232901	2011-11-14	16.00	P
USGS	430406089232901	2011-11-15	16.09	P
USGS	430406089232901	2011-11-16	16.22	P
USGS	430406089232901	2011-11-17	16.24	P
USGS	430406089232901	2011-11-18	16.28	P
USGS	430406089232901	2011-11-19	16.30	P
USGS	430406089232901	2011-11-20	16.39	P
USGS	430406089232901	2011-11-21	16.43	P
USGS	430406089232901	2011-11-22	16.31	P
USGS	430406089232901	2011-11-23	16.45	P
USGS	430406089232901	2011-11-24	16.34	P
USGS	430406089232901	2011-11-25	16.33	P
USGS	430406089232901	2011-11-26	16.33	P
USGS	430406089232901	2011-11-27	16.35	P
USGS	430406089232901	2011-11-28	16.35	P
USGS	430406089232901	2011-11-29	16.32	P
USGS	430406089232901	2011-11-30	16.33	P
USGS	430406089232901	2011-12-01	16.42	P
USGS	430406089232901	2011-12-02	16.43	P
USGS	430406089232901	2011-12-03	16.34	P
USGS	430406089232901	2011-12-04	16.31	P
USGS	430406089232901	2011-12-05	16.29	P
USGS	430406089232901	2011-12-06	16.27	P
USGS	430406089232901	2011-12-07	16.29	P
USGS	430406089232901	2011-12-08	16.30	P
USGS	430406089232901	2011-12-09	16.36	P
USGS	430406089232901	2011-12-10	16.36	P
USGS	430406089232901	2011-12-11	16.30	P
USGS	430406089232901	2011-12-12	16.33	P
USGS	430406089232901	2011-12-13	16.34	P
USGS	430406089232901	2011-12-14	16.24	P
USGS	430406089232901	2011-12-15	16.34	P
USGS	430406089232901	2011-12-16	16.34	P
USGS	430406089232901	2011-12-17	16.27	P
USGS	430406089232901	2011-12-18	16.20	P
USGS	430406089232901	2011-12-19	16.24	P
USGS	430406089232901	2011-12-20	16.22	P
USGS	430406089232901	2011-12-21	15.92	P
USGS	430406089232901	2011-12-22	15.91	P
USGS	430406089232901	2011-12-23	15.91	P
USGS	430406089232901	2011-12-24	15.73	P
USGS	430406089232901	2011-12-25	15.70	P
USGS	430406089232901	2011-12-26	15.66	P
USGS	430406089232901	2011-12-27	15.52	P
USGS	430406089232901	2011-12-28	15.51	P
USGS	430406089232901	2011-12-29	15.41	P
USGS	430406089232901	2011-12-30	15.42	P
USGS	430406089232901	2011-12-31	15.42	P
USGS	430406089232901	2012-01-01	15.41	P
USGS	430406089232901	2012-01-02	15.45	P
USGS	430406089232901	2012-01-03	15.45	P
USGS	430406089232901	2012-01-04	15.40	P
USGS	430406089232901	2012-01-05	15.42	P
USGS	430406089232901	2012-01-06	15.52	P
USGS	430406089232901	2012-01-07	15.64	P
USGS	430406089232901	2012-01-08	15.64	P
USGS	430406089232901	2012-01-09	15.61	P
USGS	430406089232901	2012-01-10	15.64	P
USGS	430406089232901	2012-01-11	15.53	P
USGS	430406089232901	2012-01-12	15.50	P
USGS	430406089232901	2012-01-13	15.61	P
USGS	430406089232901	2012-01-14	15.62	P
USGS	430406089232901	2012-01-15	15.61	P
USGS	430406089232901	2012-01-16	15.51	P
USGS	430406089232901	2012-01-17	15.65	P
USGS	430406089232901	2012-01-18	15.63	P
USGS	430406089232901	2012-01-19	15.66	P
USGS	430406089232901	2012-01-20	15.64	P
USGS	430406089232901	2012-01-21	15.67	P
USGS	430406089232901	2012-01-22	15.57	P
USGS	430406089232901	2012-01-23	15.65	P
USGS	430406089232901	2012-01-24	15.80	P
USGS	430406089232901	2012-01-25	15.73	P
USGS	430406089232901	2012-01-26	15.59	P
USGS	430406089232901	2012-01-27	15.68	P
USGS	430406089232901	2012-01-28	15.75	P
USGS	430406089232901	2012-01-29	15.78	P
USGS	430406089232901	2012-01-30	15.75	P
USGS	430406089232901	2012-01-31	15.82	P
USGS	430406089232901	2012-02-01	15.84	P
USGS	430406089232901	2012-02-02	15.77	P
USGS	430406089232901	2012-02-03	15.75	P
USGS	430406089232901	2012-02-04	15.76	P
USGS	430406089232901	2012-02-05	15.74	P
USGS	430406089232901	2012-02-06	15.72	P
USGS	430406089232901	2012-02-07	15.77	P
USGS	430406089232901	2012-02-08	15.79	P
USGS	430406089232901	2012-02-09	15.77	P
USGS	430406089232901	2012-02-10	15.79	P
USGS	430406089232901	2012-02-11	15.83	P
USGS	430406089232901	2012-02-12	15.85	P
USGS	430406089232901	2012-02-13	15.71	P
USGS	430406089232901	2012-02-14	15.72	P
USGS	430406089232901	2012-02-15	15.91	P
USGS	430406089232901	2012-02-16	15.94	P
USGS	430406089232901	2012-02-17	15.91	P
USGS	430406089232901	2012-02-18	15.96	P
USGS	430406089232901	2012-02-19	16.02	P
USGS	430406089232901	2012-02-20	15.98	P
USGS	430406089232901	2012-02-21	15.79	P
USGS	430406089232901	2012-02-22	15.72	P
USGS	430406089232901	2012-02-23	15.79	P
USGS	430406089232901	2012-02-24	15.87	P
USGS	430406089232901	2012-02-25	16.08	P
USGS	430406089232901	2012-02-26	15.93	P
USGS	430406089232901	2012-02-27	16.06	P
USGS	430406089232901	2012-02-28	15.93	P
USGS	430406089232901	2012-02-29	15.66	P
USGS	430406089232901	2012-03-01	15.74	P
USGS	430406089232901	2012-03-02	15.68	P
USGS	430406089232901	2012-03-03	15.70	P
USGS	430406089232901	2012-03-04	15.72	P
USGS	430406089232901	2012-03-05	15.87	P
USGS	430406089232901	2012-03-06	15.85	P
USGS	430406089232901	2012-03-07	15.82	P
USGS	430406089232901	2012-03-08	15.80	P
USGS	430406089232901	2012-03-09	15.82	P
USGS	430406089232901	2012-03-10	15.77	P
USGS	430406089232901	2012-03-11	15.80	P
USGS	430406089232901	2012-03-12	15.69	P
USGS	430406089232901	2012-03-13	15.87	P
USGS	430406089232901	2012-03-14	15.77	P
USGS	430406089232901	2012-03-15	15.87	P
USGS	430406089232901	2012-03-16	15.78	P
USGS	430406089232901	2012-03-17	15.77	P
USGS	430406089232901	2012-03-18	15.77	P
USGS	430406089232901	2012-03-19	15.76	P
USGS	430406089232901	2012-03-20	15.79	P
USGS	430406089232901	2012-03-21	15.80	P
USGS	430406089232901	2012-03-22	15.75	P
USGS	430406089232901	2012-03-23	15.66	P
USGS	430406089232901	2012-03-24	15.65	P
USGS	430406089232901	2012-03-25	15.79	P
USGS	430406089232901	2012-03-26	15.71	P
USGS	430406089232901	2012-03-27	15.55	P
USGS	430406089232901	2012-03-28	15.69	P
USGS	430406089232901	2012-03-29	15.69	P
USGS	430406089232901	2012-03-30	15.51	P
USGS	430406089232901	2012-03-31	15.43	P
USGS	430406089232901	2012-04-01	15.45	P
USGS	430406089232901	2012-04-02	15.46	P
USGS	430406089232901	2012-04-03	15.46	P
USGS	430406089232901	2012-04-04	15.48	P
USGS	430406089232901	2012-04-05	15.47	P
USGS	430406089232901	2012-04-06	15.52	P
USGS	430406089232901	2012-04-07	15.44	P
USGS	430406089232901	2012-04-08	15.40	P
USGS	430406089232901	2012-04-09	15.37	P
USGS	430406089232901	2012-04-10	15.39	P
USGS	430406089232901	2012-04-11	15.52	P
USGS	430406089232901	2012-04-12	15.54	P
USGS	430406089232901	2012-04-13	15.44	P
USGS	430406089232901	2012-04-14	15.44	P
USGS	430406089232901	2012-04-15	15.32	P
USGS	430406089232901	2012-04-16	15.50	P
USGS	430406089232901	2012-04-17	15.53	P
# Data provided for site 430427089284901
#    DD parameter statistic   Description
#    01   72019     00001     Depth to water level, feet below land surface (Maximum)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	01_72019_00001	01_72019_00001_cd
5s	15s	20d	14n	10s
USGS	430427089284901	1982-12-06	55.77	A
USGS	430427089284901	1982-12-07	55.88	A
USGS	430427089284901	1982-12-08	55.88	A
USGS	430427089284901	1982-12-09	55.85	A
USGS	430427089284901	1982-12-20	55.70	A
USGS	430427089284901	1982-12-21	55.70	A
USGS	430427089284901	1982-12-22	55.67	A
USGS	430427089284901	1982-12-23	55.65	A
USGS	430427089284901	1982-12-24	55.65	A
USGS	430427089284901	1982-12-25	55.70	A
USGS	430427089284901	1982-12-26	55.73	A
USGS	430427089284901	1982-12-27	55.72	A
USGS	430427089284901	1982-12-28	55.58	A
USGS	430427089284901	1983-01-24	55.68	A
USGS	430427089284901	1983-01-25	55.75	A
USGS	430427089284901	1983-01-26	55.74	A
USGS	430427089284901	1983-01-27	55.73	A
USGS	430427089284901	1983-01-28	55.66	A
USGS	430427089284901	1983-01-29	55.66	A
USGS	430427089284901	1983-01-30	55.74	A
USGS	430427089284901	1983-01-31	55.77	A
USGS	430427089284901	1983-02-01	55.76	A
USGS	430427089284901	1983-02-02	55.62	A
USGS	430427089284901	1983-02-03	55.81	A
USGS	430427089284901	1983-02-04	55.85	A
USGS	430427089284901	1983-02-05	55.82	A
USGS	430427089284901	1983-02-06	55.75	A
USGS	430427089284901	1983-02-07	55.79	A
USGS	430427089284901	1983-02-08	55.80	A
USGS	430427089284901	1983-02-09	55.81	A
USGS	430427089284901	1983-02-10	55.85	A
USGS	430427089284901	1983-02-11	55.89	A
USGS	430427089284901	1983-02-12	55.89	A
USGS	430427089284901	1983-02-13	55.86	A
USGS	430427089284901	1983-02-14	55.83	A
USGS	430427089284901	1983-02-15	55.85	A
USGS	430427089284901	1983-02-16	55.87	A
USGS	430427089284901	1983-02-17	55.92	A
USGS	430427089284901	1983-02-18	55.90	A
USGS	430427089284901	1983-02-19	55.90	A
USGS	430427089284901	1983-02-20	55.91	A
USGS	430427089284901	1983-02-21	55.93	A
USGS	430427089284901	1983-02-22	55.87	A
USGS	430427089284901	1983-02-23	55.88	A
USGS	430427089284901	1983-02-24	55.95	A
USGS	430427089284901	1983-02-25	55.99	A
