Daily Date,M6888_Rain_inpd,OH515_EPT_mmpd,TA613_AIRT_MIN_C,TA613_AIRT_Max_C
8/20/2001,0,4.52,26.28,34.32
8/21/2001,0.06,2.63,24.83,32.06
8/22/2001,0,2.63,24.87,31.39
8/23/2001,0,5.64,25.16,32.58
8/24/2001,0,5.27,25.43,32.98
8/25/2001,0,5.65,25.9,33.58
8/26/2001,0,5.27,26.49,32.98
8/27/2001,0,5.46,25.36,31.91
8/28/2001,0,5.27,25.83,33.45
8/29/2001,0.03,3.01,26.62,32.54
8/30/2001,0,5.65,26.62,33.38
8/31/2001,0,5.09,26.89,33.18
9/1/2001,0.16,3.95,24.47,32.33
9/2/2001,0,5.08,26.56,33.45
9/3/2001,0.01,3.39,25.55,32.72
9/4/2001,0.21,4.7,25.56,32.58
9/5/2001,0.06,3.76,25.63,32.25
9/6/2001,0.01,4.13,24.76,31.26
9/7/2001,0.64,2.06,23.86,30.72
9/8/2001,0.62,2.63,24.22,30.39
9/9/2001,0.7,2.25,22.19,29.46
9/10/2001,0.02,3.19,23.82,30.2
9/11/2001,0.41,3,23.42,30.4
9/12/2001,0.75,2.63,23.02,28.08
9/13/2001,0.28,1.88,22.76,29.28
9/14/2001,0.22,3,24.21,28.55
9/15/2001,0,4.51,23.29,29.86
9/16/2001,0,5.06,21.64,29.86
9/17/2001,0,4.7,23.04,31.65
9/18/2001,0.03,2.82,25.09,31.07
9/19/2001,0,3.76,24.96,30.93
9/20/2001,0,4.14,24.76,31.92
9/21/2001,0,3.95,25.36,32.12
9/22/2001,0,4.51,25.56,32.12
9/23/2001,0,3.57,24.63,31.4
9/24/2001,0,4.52,25.63,31.72
9/25/2001,0,4.14,26.43,31.79
9/26/2001,0.7,2.25,22.75,30.92
9/27/2001,0.71,1.31,22.36,28.08
9/28/2001,0.93,1.12,21.9,25.49
9/29/2001,3.52,1.87,20.83,25.08
9/30/2001,0,4.5,21.64,28.07
10/1/2001,0,5.06,20.57,27.55
10/2/2001,0,5.25,20.11,28.4
10/3/2001,0,4.5,22.1,28.48
10/4/2001,0,3.76,23.58,30.07
10/5/2001,0.17,3.19,24.36,30.46
10/6/2001,0,4.51,25.09,32.06
10/7/2001,0,4.7,25.9,31.66
10/8/2001,0.28,4.32,25.2,30.87
10/9/2001,0.08,2.44,23.76,27.68
10/10/2001,0,4.13,24.49,28.35
10/11/2001,0,3.75,24.1,28.81
10/12/2001,0,3.57,23.51,28.35
10/13/2001,0,3.75,23.31,28.88
10/14/2001,0,1.5,24.68,28.22
10/15/2001,0.03,3.19,24.49,30.6
10/16/2001,0,3.19,24.76,30.27
10/17/2001,0,3.19,22.57,27.41
10/18/2001,0.02,1.5,21.17,26.89
10/19/2001,0.23,2.44,23.43,29.61
10/20/2001,0.06,1.5,23.54,27.22
10/21/2001,2.18,1.12,21.83,27.61
10/22/2001,0.52,3,23.31,28.28
10/23/2001,0,2.82,24.03,29.26
10/24/2001,0,3.57,25.56,30.27
10/25/2001,0,2.63,24.49,31
10/26/2001,0.01,2.81,20.83,26.54
10/27/2001,0,3.54,16.45,21.3
10/28/2001,0,3.54,14.24,22.77
10/29/2001,0,2.43,18.64,24.09
10/30/2001,0,2.24,19.45,25.63
10/31/2001,0.01,3.18,20.11,26.41
11/1/2001,0,2.81,22.17,27.28
11/2/2001,0.23,2.81,22.51,27.48
11/3/2001,0,2.63,23.44,27.88
11/4/2001,0.35,0.75,21.37,25.03
11/5/2001,0.89,1.12,19.84,22.24
11/6/2001,0,3.92,18.11,25.49
11/7/2001,0,3.74,17.84,24.62
11/8/2001,0,2.62,18.51,24.96
11/9/2001,0,4.11,18.38,25.21
11/10/2001,0,2.99,18.91,24.94
11/11/2001,0,3.93,19.45,25.81
11/12/2001,0,3.93,18.91,25.15
11/13/2001,0,3.93,18.51,25.75
11/14/2001,0,3.36,18.18,24.02
11/15/2001,0,1.49,18.51,22.77
11/16/2001,0,3.36,19.31,25.03
11/17/2001,0,3.55,18.71,27.21
11/18/2001,0,3.55,19.38,26.49
11/19/2001,0,3.37,19.51,25.42
11/20/2001,0,3.37,19.51,26.61
11/21/2001,0,3.74,18.98,25.74
11/22/2001,0,3.55,19.11,26.68
11/23/2001,0,3.74,20.32,26.08
11/24/2001,0,3.37,21.17,27.21
11/25/2001,0,3.56,20.78,26.81
11/26/2001,0,3.56,21.04,25.82
11/27/2001,0,3.74,20.59,25.94
11/28/2001,0,3.37,20.91,25.95
11/29/2001,0,3.56,20.52,26.41
11/30/2001,0,2.99,20.52,26.55
12/1/2001,0.01,2.99,19.85,26.08
12/2/2001,0.05,2.43,20.7,25.95
12/3/2001,0,3.37,19.84,26.74
12/4/2001,0,3.37,19.51,26.34
12/5/2001,0,3.18,20.18,26.15
12/6/2001,0.13,1.5,20.7,25.7
12/7/2001,0.1,2.62,21.17,26.88
12/8/2001,0,2.62,22.04,27.61
12/9/2001,2.13,1.5,21.56,26.76
12/10/2001,0.01,3.37,21.77,27.41
12/11/2001,0,3,21.37,27.81
12/12/2001,0,3.37,21.57,27.28
12/13/2001,0,2.25,20.64,27.35
12/14/2001,0.29,3.37,21.9,28.08
12/15/2001,0,3,20.83,27.55
12/16/2001,0,3.37,20.65,26.68
12/17/2001,0,3.18,21.11,27.08
12/18/2001,0,2.62,20.64,27.21
12/19/2001,0,2.99,17.51,25.21
12/20/2001,0,3.36,15.58,21.82
12/21/2001,0,3.54,13.92,23.29
12/22/2001,0,3.17,15.52,22.82
12/23/2001,0,1.87,17.65,24.16
12/24/2001,0,2.06,19.31,26.61
12/25/2001,0.01,2.24,15.97,25.41
12/26/2001,0.07,2.23,11.78,16.44
12/27/2001,0,1.85,10.92,15.92
12/28/2001,0,2.98,14.65,22.89
12/29/2001,0.01,3.17,16.65,25.21
12/30/2001,0,1.87,17.11,23.36
12/31/2001,0.59,0.56,16.38,19.31
1/1/2002,0,3.35,14.11,22.22
1/2/2002,0.12,0.56,15.52,22.24
1/3/2002,0.01,1.86,9.19,20.16
1/4/2002,0,3.69,4.311,11.83
1/5/2002,0,2.41,6.991,20.1
1/6/2002,0.03,2.24,14.98,24.09
1/7/2002,0,2.42,10.58,19.56
1/8/2002,0,3.7,5.852,13.97
1/9/2002,0,3.7,6.455,16.9
1/10/2002,0,3.71,9.46,21.55
1/11/2002,0,3.54,12.05,24.07
1/12/2002,0,3.73,13.45,24.2
1/13/2002,0.03,1.3,16.97,22.04
1/14/2002,0,2.62,17.37,26.14
1/15/2002,0,1.49,17.77,23.96
1/16/2002,0,3.55,15.52,25.61
1/17/2002,0,3.18,18.44,27.07
1/18/2002,0,2.81,19.49,27.2
1/19/2002,0,3.74,18.18,26.95
1/20/2002,0,3.37,19.96,28.06
1/21/2002,0,3.56,21.44,28.73
1/22/2002,0,3.37,20.97,27.48
1/23/2002,0,3.93,20.83,26.95
1/24/2002,0,3.37,20.44,27.01
1/25/2002,0,3.74,20.44,28.73
1/26/2002,0,3.93,19.51,28.33
1/27/2002,0,3.56,20.43,27.93
1/28/2002,0,3.74,19.97,27.79
1/29/2002,0,3.93,19.97,27.93
1/30/2002,0.03,3.75,21.3,27.08
1/31/2002,0,3.56,20.9,27.01
2/1/2002,0,3.74,20.16,27.13
2/2/2002,1.32,3.93,20.1,28.79
2/3/2002,0.01,2.81,19.63,26.54
2/4/2002,0,4.1,15.99,24.21
2/5/2002,0,4.09,12.32,22.29
2/6/2002,0,3.36,16.45,24.09
2/7/2002,0,3.55,18.71,26.88
2/8/2002,0,3.72,13.57,21.15
2/9/2002,0.11,1.87,17.17,25.08
2/10/2002,0.34,2.43,20.16,26.21
2/11/2002,0,3.17,16.97,23.15
2/12/2002,0.04,3.92,15.85,26.47
2/13/2002,0,2.99,17.24,26.14
2/14/2002,0.1,1.12,14.71,19.03
2/15/2002,0,3.17,15.72,25.94
2/16/2002,0.01,2.05,17.91,24.55
2/17/2002,0,4.66,14.85,22.42
2/18/2002,0,4.47,11.65,22.55
2/19/2002,0,3.54,14.71,21.77
2/20/2002,0,3.55,17.57,25.14
2/21/2002,0.02,2.62,18.58,26.55
2/22/2002,0.01,3.37,18.84,26.81
2/23/2002,2.46,1.3,14.04,23.31
2/24/2002,0,5.02,12.05,20.77
2/25/2002,0,4.28,13.85,23.74
2/26/2002,0.1,4.67,16.19,25.88
2/27/2002,0,3.35,9.39,20.3
2/28/2002,0,1.48,6.52,16.72
3/1/2002,0,2.42,13.31,22.24
3/2/2002,0,4.12,20.57,26.88
3/3/2002,0,4.12,20.9,28.67
3/4/2002,0.03,1.86,11.72,22.91
3/5/2002,0,2.41,9.44,19.17
3/6/2002,0,1.3,15.25,19.9
3/7/2002,0,1.12,16.97,22.84
3/8/2002,0,4.86,16.79,26.54
3/9/2002,0,4.49,17.91,28.46
3/10/2002,0.01,4.49,19.37,27.54
3/11/2002,0.03,4.49,18.31,26.81
3/12/2002,0.01,4.49,20.11,28.02
3/13/2002,0,4.68,21.1,27.48
3/14/2002,0,4.87,18.91,29.53
3/15/2002,0,4.69,21.57,29.13
3/16/2002,0,4.87,21.37,28.39
3/17/2002,0,4.31,19.45,28.2
3/18/2002,0,4.87,21.44,29.13
3/19/2002,0,5.43,19.78,27.73
3/20/2002,0,4.87,20.9,28.27
3/21/2002,0,5.44,20.9,29.53
3/22/2002,0,2.81,18.24,26.74
3/23/2002,0,4.86,16.97,26.54
3/24/2002,0,5.05,19.65,27.41
3/25/2002,0,5.06,20.97,29
3/26/2002,0.93,5.06,19.73,29.86
3/27/2002,0.01,5.25,19.78,30.26
3/28/2002,0,5.61,18.31,29
3/29/2002,0,4.87,20.36,28.73
3/30/2002,0,5.25,21.3,28.34
3/31/2002,0,5.06,20.9,29.4
4/1/2002,0,4.69,21.5,29.93
4/2/2002,0,4.5,22.24,30.06
4/3/2002,0.01,4.5,21.17,29.86
4/4/2002,0,5.62,20.11,30.65
4/5/2002,0,5.25,20.3,28.13
4/6/2002,0,5.05,18.11,26.74
4/7/2002,0,4.11,16.72,25.42
4/8/2002,0,4.3,19.45,25.94
4/9/2002,0,5.8,19.31,27.81
4/10/2002,0,5.43,19.78,27.88
4/11/2002,0,3.74,18.98,27.21
4/12/2002,0,5.05,18.31,27.01
4/13/2002,0.01,4.68,19.51,27.75
4/14/2002,3.72,2.43,18.56,27.48
4/15/2002,0,5.43,18.98,29.8
4/16/2002,0.03,4.5,20.7,29.4
4/17/2002,0.02,4.31,21.03,28.54
4/18/2002,0,5.06,20.57,29.06
4/19/2002,0,5.81,20.11,28.66
4/20/2002,0,6,19.25,29.53
4/21/2002,0,5.63,20.45,30.79
4/22/2002,0,5.82,21.44,31.71
4/23/2002,0,5.44,21.37,31.72
4/24/2002,0,4.32,22.64,30.27
4/25/2002,0,4.5,21.64,29.46
4/26/2002,0,6,19.91,31
4/27/2002,0,5.62,20.11,29.53
4/28/2002,0,6,20.77,29.66
4/29/2002,0,5.63,21.37,32.18
4/30/2002,0,5.63,20.7,32.18
5/1/2002,0,6.2,21.57,32.06
5/2/2002,0,6.01,22.1,32.72
5/3/2002,0,6.01,21.37,31.54
5/4/2002,0,5.82,21.7,31.72
5/5/2002,0,5.26,21.37,31.92
5/6/2002,0,5.44,21.7,31.13
5/7/2002,0,4.69,21.17,31.53
5/8/2002,0,5.44,21.44,30.86
5/9/2002,0,5.81,20.5,31
5/10/2002,0,5.63,20.05,30.8
5/11/2002,0,5.44,20.97,30.47
5/12/2002,0,5.44,21.7,30.8
5/13/2002,0.06,5.06,20.63,31.06
5/14/2002,0,5.26,21.1,31.39
5/15/2002,0.29,5.44,21.7,30.13
5/16/2002,0.12,3.94,22.04,29.54
5/17/2002,0,5.82,21.64,30.99
5/18/2002,0,5.45,21.77,31.53
5/19/2002,1.99,1.87,20.16,27.41
5/20/2002,0.01,4.31,18.85,29.6
5/21/2002,0,3.56,20.16,29.26
5/22/2002,0,4.31,20.03,28.4
5/23/2002,0,5.43,18.91,28.94
5/24/2002,0,5.99,18.91,28.86
5/25/2002,0,4.12,18.58,28.6
5/26/2002,0,5.06,19.17,29.6
5/27/2002,0,5.63,21.23,30.47
5/28/2002,0.16,3.75,21.17,29.15
5/29/2002,0.41,5.25,18.85,32.65
5/30/2002,1.22,3.56,20.04,31.6
5/31/2002,0.97,5.07,21.7,31.52
6/1/2002,0.01,5.44,21.17,33.52
6/2/2002,0,5.07,22.31,33.98
6/3/2002,0.5,5.07,23.24,34.65
6/4/2002,0.01,3.95,23.38,31.99
6/5/2002,0,2.25,24.02,30.53
6/6/2002,0.08,3.94,22.97,32.11
6/7/2002,0.81,4.5,21.82,32.25
6/8/2002,0.1,3.56,22.57,29.66
6/9/2002,0.01,4.32,22.24,31.06
6/10/2002,0.01,4.69,22.1,30.93
6/11/2002,0.6,2.25,22.27,27.48
6/12/2002,0.2,2.63,22.91,28.53
6/13/2002,0.56,2.81,23.44,28.22
6/14/2002,0.41,1.5,23.02,28.28
6/15/2002,2.64,0.56,22.37,24.83
6/16/2002,0,4.7,22.24,30.93
6/17/2002,0.59,3.76,23.63,31.4
6/18/2002,0.06,3.38,24.48,30.87
6/19/2002,0.02,4.7,24.09,32.19
6/20/2002,2.84,1.88,22.35,28.75
6/21/2002,0.25,1.5,21.77,25.69
6/22/2002,0.38,1.12,23.37,27.23
6/23/2002,0.15,3,23.3,31.34
6/24/2002,0.64,3.57,23.42,30.27
6/25/2002,0.08,2.63,24.09,29.26
6/26/2002,0,3.94,23.42,29.46
6/27/2002,0,2.63,25.16,29.6
6/28/2002,0,3.19,24.45,29.33
6/29/2002,0,3.2,25.03,31.53
6/30/2002,0,3.38,23.6,30.27
7/1/2002,0,1.87,23.21,30.33
7/2/2002,,4.49,23.64,30.73
7/3/2002,,4.3,25.43,30.41
7/4/2002,,4.86,25.5,32.39
7/5/2002,,4.67,25.53,31.46
7/6/2002,,2.06,25.05,29.86
7/7/2002,,2.06,24.76,30
7/8/2002,,1.87,22.24,29.42
7/9/2002,,2.62,22.23,29.35
7/10/2002,,1.68,22.57,29.33
7/11/2002,,2.99,23.84,29.33
7/12/2002,,3.55,24.09,31.2
7/13/2002,,4.86,25.09,32.39
7/14/2002,0,5.05,26.77,32.98
7/15/2002,0.01,3.74,25.59,32.46
7/16/2002,0,4.11,26.7,33.19
7/17/2002,0.11,4.3,25.83,33.66
7/18/2002,0,3.36,26.83,30.46
7/19/2002,0,4.49,26.43,33.19
7/20/2002,0,5.61,26.57,33.12
7/21/2002,0.34,4.3,23.69,32.46
7/22/2002,0,4.86,26.37,32.14
7/23/2002,0,4.49,26.83,31.41
7/24/2002,0,1.68,26.77,30.8
7/25/2002,0.16,4.67,24.68,31.27
7/26/2002,0,5.79,26.57,32.26
7/27/2002,0,5.61,26.9,33.13
7/28/2002,0,5.05,27.03,32.79
7/29/2002,0,4.11,25.61,32.26
7/30/2002,0.61,3.74,24.73,31.81
7/31/2002,0,2.99,26.23,32.66
8/1/2002,0,5.42,26.7,34.19
8/2/2002,0,3.74,26.9,32.79
8/3/2002,0.23,5.42,25.89,32.67
8/4/2002,0.01,5.23,25.96,32.53
8/5/2002,0.18,3.93,26.03,31.4
8/6/2002,0.19,3.93,25.32,33.2
8/7/2002,0.48,2.62,22.77,31.4
8/8/2002,0,4.86,24.1,32.46
8/9/2002,0,4.49,25.09,30.93
8/10/2002,0,2.62,25.96,30.4
8/11/2002,0,1.87,24.87,30.53
8/12/2002,0,4.49,25.1,32.46
8/13/2002,0,4.3,24.29,32.79
8/14/2002,0,4.49,25.22,31
8/15/2002,0,4.67,25.7,31.74
8/16/2002,0,4.49,25.15,31.67
8/17/2002,0,5.05,25.96,32.34
8/18/2002,0,4.86,24.02,31.54
8/19/2002,0,5.23,24.76,32.66
8/20/2002,0,2.62,24.23,31.79
8/21/2002,0,4.49,24.9,31.54
8/22/2002,0,5.23,25.36,32.2
8/23/2002,0,2.99,25.56,32.46
8/24/2002,0,3.93,26.23,31.27
8/25/2002,0,4.67,25.71,32.92
8/26/2002,0,3.93,25.74,31.93
8/27/2002,0,2.8,25.29,32
8/28/2002,0,2.24,24.83,30.93
8/29/2002,0,3.93,24.59,31.36
8/30/2002,0,1.87,24.36,29.16
8/31/2002,0,4.67,24.65,31
9/1/2002,0,3.36,25.56,32.26
9/2/2002,0,2.62,26.23,31.46
9/3/2002,0,3.18,24.15,32.46
9/4/2002,0.03,2.43,26.01,31
9/5/2002,0.07,3.36,24.16,30.33
9/6/2002,0,4.11,24.63,30.61
9/7/2002,0,3.74,25.76,30.8
9/8/2002,0.11,4.11,25.16,30.47
9/9/2002,0.01,4.67,25.37,31.6
9/10/2002,0.45,2.06,23.04,30.14
9/11/2002,0.74,2.06,20.43,29.62
9/12/2002,0.06,1.31,22.37,28.68
9/13/2002,0.02,2.8,24.22,30.95
9/14/2002,0,4.49,25.11,31.8
9/15/2002,0,4.11,26.37,32.33
9/16/2002,0,4.49,25.3,31.87
9/17/2002,0,4.86,25.83,32.66
9/18/2002,0,3.74,26.43,31.94
9/19/2002,0,4.49,25.36,31.87
9/20/2002,0.03,4.49,24.63,31.54
9/21/2002,0,4.67,24.77,31.6
9/22/2002,0.01,3.55,25.3,30.48
9/23/2002,0.9,1.68,24.15,29.01
9/24/2002,0,3.74,24.69,31
9/25/2002,0.28,3.74,23.96,30.43
9/26/2002,0,4.11,25.96,31.47
9/27/2002,0.6,3.74,24.56,30.81
9/28/2002,0,3.74,25.44,31.86
9/29/2002,0.07,3.36,23.96,31.27
9/30/2002,0.38,3.74,24.43,30.42
10/1/2002,0,4.3,24.97,31.13
10/2/2002,0,4.49,25.56,31.13
10/3/2002,0,3.93,24.71,30.68
10/4/2002,0,4.67,23.51,31.4
10/5/2002,0,2.62,25.11,30.22
10/6/2002,0,4.11,23.84,31.27
10/7/2002,0,3.55,23.58,31.07
